image_path,pred_change_ratio,logit_change_ratio,inst_gt_sem_ratio,max_score_delta,sem_min,sem_max,sem_mean,sem_std,inst_min,inst_max,inst_mean,inst_std,dual_min,dual_max,dual_mean,dual_std
data/LoveDA/img_dir/val/2572.png,0.0,0.1271602213382721,0.1271602213382721,0.0,4.177713890385348e-06,0.9999823570251465,0.4691370725631714,0.420856773853302,0.0,0.7031641006469727,0.013656261377036572,0.07591037452220917,3.232621747883968e-05,0.9999823570251465,0.47285279631614685,0.4170096814632416
data/LoveDA/img_dir/val/2573.png,0.007800102233886719,0.1487031728029251,0.18517018854618073,1.3542168744606897e-05,8.645747748945352e-35,1.0,0.18049344420433044,0.32766032218933105,0.0,0.8032834529876709,0.016809560358524323,0.09085123986005783,8.645747748945352e-35,1.0,0.18168877065181732,0.327191561460495
data/LoveDA/img_dir/val/2574.png,0.0,0.0,0.0,0.0,8.292019629152492e-06,0.9999939203262329,0.5245739221572876,0.29895883798599243,0.0,0.0,0.0,0.0,8.292019629152492e-06,0.9999939203262329,0.5245739221572876,0.29895883798599243
data/LoveDA/img_dir/val/2575.png,9.250640869140625e-05,0.05301748216152191,0.055449217557907104,4.333830474934075e-06,6.077227718026559e-18,1.0,0.3668830096721649,0.4194186329841614,0.0,0.9450753331184387,0.08194196224212646,0.18408191204071045,1.9800969197625307e-10,1.0,0.3672783672809601,0.41923126578330994
data/LoveDA/img_dir/val/2576.png,0.00034809112548828125,0.1781921535730362,0.17844773828983307,4.024777445010841e-05,1.4660943438715638e-24,1.0,0.3903299868106842,0.39165347814559937,0.0,0.8839941620826721,0.09018398821353912,0.22996214032173157,2.7006531931303717e-19,1.0,0.3960148096084595,0.3893865644931793
data/LoveDA/img_dir/val/2577.png,0.17395496368408203,0.0982251912355423,0.21523654460906982,2.2115060346550308e-05,2.1006053956538897e-30,0.9999997615814209,0.22836853563785553,0.36413443088531494,0.0,0.9018878936767578,0.047817960381507874,0.16301017999649048,8.708209676054309e-16,0.9999997615814209,0.22870643436908722,0.3641606867313385
data/LoveDA/img_dir/val/2578.png,0.0,0.0,0.0,0.0,0.0708322674036026,0.9967283010482788,0.812366247177124,0.1343512088060379,0.0,0.0,0.0,0.0,0.0708322674036026,0.9967283010482788,0.812366247177124,0.1343512088060379
data/LoveDA/img_dir/val/2579.png,0.0,3.3514843380544335e-05,3.365108204889111e-05,0.0,4.980206247395813e-10,0.9999954700469971,0.566748321056366,0.37582212686538696,0.0,0.6676985025405884,0.006634459365159273,0.06014532595872879,4.980206247395813e-10,0.9999954700469971,0.5667492747306824,0.37582141160964966
data/LoveDA/img_dir/val/2580.png,3.4332275390625e-05,0.17716068029403687,0.17764610052108765,8.837058885546867e-06,2.395320812358104e-13,1.0,0.3285282552242279,0.3800159692764282,0.0,0.7992990612983704,0.0622415766119957,0.1413349211215973,2.5707048794364196e-13,1.0,0.33176103234291077,0.3778153955936432
data/LoveDA/img_dir/val/2581.png,2.574920654296875e-05,0.09860651940107346,0.0988539308309555,1.6757411458456772e-06,4.483534499945589e-23,1.0,0.4428529739379883,0.4038195013999939,0.0,0.8863101005554199,0.07205048203468323,0.16866596043109894,4.483534499945589e-23,1.0,0.44329705834388733,0.4035888910293579
data/LoveDA/img_dir/val/2582.png,0.019682884216308594,0.12328802049160004,0.12329170107841492,0.0010585141135379672,6.335440831631418e-18,0.9999998807907104,0.5847575664520264,0.372092604637146,0.0,0.5868538618087769,0.06665671616792679,0.1529027819633484,6.140479059638549e-16,0.9999998807907104,0.5862992405891418,0.3697815239429474
data/LoveDA/img_dir/val/2583.png,4.100799560546875e-05,0.012008259072899818,0.012159893289208412,2.0528268578345887e-06,1.6576086477818747e-13,0.9999997615814209,0.4182797372341156,0.39144212007522583,0.0,0.8429629802703857,0.003046932863071561,0.04694628715515137,1.9817290863866077e-10,0.9999997615814209,0.41833600401878357,0.39140376448631287
data/LoveDA/img_dir/val/2584.png,0.0,0.0,0.0,0.0,1.4567714970326051e-05,0.9999309778213501,0.5677995681762695,0.3357376456260681,0.0,0.0,0.0,0.0,1.4567714970326051e-05,0.9999309778213501,0.5677995681762695,0.3357376456260681
data/LoveDA/img_dir/val/2585.png,0.0001583099365234375,0.12972968816757202,0.12987451255321503,8.526457349944394e-06,6.257058808795471e-14,1.0,0.4319414496421814,0.4101555645465851,0.0,0.8889589905738831,0.05693459510803223,0.17853519320487976,6.763200568159211e-13,1.0,0.43350833654403687,0.4091700613498688
data/LoveDA/img_dir/val/2586.png,0.0006799697875976562,0.1418880820274353,0.14243535697460175,6.986626249272376e-05,6.643551811111315e-14,1.0,0.4409710466861725,0.39328309893608093,0.0,0.9271674752235413,0.07015706598758698,0.18533115088939667,2.3044747533840226e-12,1.0,0.44265881180763245,0.3928626775741577
data/LoveDA/img_dir/val/2587.png,0.0,0.0,0.0,0.0,0.00018947137868963182,0.9998892545700073,0.6281280517578125,0.3796790838241577,0.0,0.0,0.0,0.0,0.00018947137868963182,0.9998892545700073,0.6281280517578125,0.3796790838241577
data/LoveDA/img_dir/val/2588.png,9.5367431640625e-07,0.09156486392021179,0.09180805087089539,1.5521550267294515e-08,4.3509110203565626e-10,0.9999908208847046,0.3257342576980591,0.3780563473701477,0.0,0.7881879806518555,0.038128871470689774,0.151515930891037,2.1314232157010338e-08,0.9999908208847046,0.32590994238853455,0.3779520094394684
data/LoveDA/img_dir/val/2589.png,2.86102294921875e-06,0.0013238362735137343,0.001353400177322328,4.774066155732726e-07,4.466271796843557e-10,0.9999994039535522,0.4895133972167969,0.42099449038505554,0.0,0.866844117641449,0.005219385493546724,0.06026193127036095,1.9691988040193564e-09,0.9999994039535522,0.48952633142471313,0.4209875762462616
data/LoveDA/img_dir/val/2590.png,0.0,0.09291622042655945,0.09312412142753601,0.0,2.089838879726358e-08,0.9999992847442627,0.44736194610595703,0.3696860373020172,0.0,0.6729222536087036,0.04270691052079201,0.14235295355319977,2.572193480432361e-08,0.9999992847442627,0.4491044580936432,0.36789342761039734
data/LoveDA/img_dir/val/2591.png,9.250640869140625e-05,0.0798330307006836,0.07991668581962585,2.7100825263914885e-06,5.535596980799085e-10,0.9999998807907104,0.4956069886684418,0.3767467141151428,0.0,0.7049485445022583,0.0503222793340683,0.12429393082857132,7.47130513900629e-07,0.9999998807907104,0.49653592705726624,0.3757772445678711
