image_path,gt_path,pred_change_ratio,logit_change_ratio,inst_gt_sem_ratio,max_score_delta,sem_min,sem_max,sem_mean,sem_std,inst_min,inst_max,inst_mean,inst_std,dual_min,dual_max,dual_mean,dual_std,sem_acc,dual_acc,delta_acc,sem_miou,dual_miou,delta_miou,valid_pixels
data/LoveDA/img_dir/val/2522.png,data/LoveDA/ann_dir/val/2522.png,3.528594970703125e-05,0.18169309198856354,0.18244607746601105,2.9302891562110744e-06,9.616952552230287e-14,0.9999996423721313,0.36556851863861084,0.3792482912540436,0.0,0.9331508874893188,0.04776374250650406,0.16714677214622498,7.237552029047689e-13,0.9999996423721313,0.3671550154685974,0.3779865503311157,0.010298728942871094,0.010298728942871094,0.0,0.018907239966998553,0.018907241204049942,1.237051388408572e-09,1048576
data/LoveDA/img_dir/val/2523.png,data/LoveDA/ann_dir/val/2523.png,0.0,0.0,0.0,0.0,1.5346486581524488e-10,1.0,0.5414145588874817,0.4445021152496338,0.0,0.0,0.0,0.0,1.5346486581524488e-10,1.0,0.5414145588874817,0.4445021152496338,0.0038166046142578125,0.0038166046142578125,0.0,0.0011694937860746682,0.0011694937860746682,0.0,1048576
data/LoveDA/img_dir/val/2524.png,data/LoveDA/ann_dir/val/2524.png,2.765655517578125e-05,0.044128693640232086,0.044128693640232086,4.952437961946998e-07,1.0801283423234054e-07,0.9999995231628418,0.401323139667511,0.3718509078025818,0.0,0.5261743664741516,0.04933799430727959,0.14010900259017944,1.0801283423234054e-07,0.9999995231628418,0.4028876721858978,0.3703937828540802,0.028303146362304688,0.028303146362304688,0.0,0.015196233980801268,0.015196233980801268,0.0,1048576
data/LoveDA/img_dir/val/2525.png,data/LoveDA/ann_dir/val/2525.png,0.0,0.10998958349227905,0.11011341959238052,0.0,2.9632207798613308e-08,0.9999996423721313,0.49247851967811584,0.4237929582595825,0.0,0.7829229235649109,0.007972507737576962,0.06829562783241272,1.4323356367640372e-07,0.9999996423721313,0.4926627278327942,0.42358511686325073,0.0052433013916015625,0.0052433013916015625,0.0,0.0008120726759256934,0.0008120726759256934,0.0,1048576
data/LoveDA/img_dir/val/2526.png,data/LoveDA/ann_dir/val/2526.png,0.0,0.0,0.0,0.0,3.62769299044885e-07,0.9999996423721313,0.6709129214286804,0.38706278800964355,0.0,0.0,0.0,0.0,3.62769299044885e-07,0.9999996423721313,0.6709129214286804,0.38706278800964355,0.0,0.0,0.0,0.0,0.0,0.0,1048576
data/LoveDA/img_dir/val/2527.png,data/LoveDA/ann_dir/val/2527.png,0.0,6.267002845561365e-06,6.267002845561365e-06,0.0,0.0007800377206876874,0.9999935626983643,0.5223252177238464,0.3637767732143402,0.0,0.5564221143722534,0.003522290149703622,0.042744770646095276,0.0007800377206876874,0.9999935626983643,0.5223252177238464,0.3637767732143402,0.0022983551025390625,0.0022983551025390625,0.0,0.0005766999735115422,0.0005766999735115422,0.0,1048576
data/LoveDA/img_dir/val/2528.png,data/LoveDA/ann_dir/val/2528.png,0.0,0.0,0.0,0.0,0.026547007262706757,0.9999762773513794,0.748614490032196,0.19714117050170898,0.0,0.0,0.0,0.0,0.026547007262706757,0.9999762773513794,0.748614490032196,0.19714117050170898,0.015979766845703125,0.015979766845703125,0.0,0.006742916838700382,0.006742916838700382,0.0,1048576
data/LoveDA/img_dir/val/2529.png,data/LoveDA/ann_dir/val/2529.png,1.9073486328125e-06,0.0014598029665648937,0.0016196115175262094,1.4498525047201838e-07,3.651186936815785e-21,1.0,0.44617995619773865,0.3626900911331177,0.0,0.8945212364196777,0.0032524054404348135,0.05207991227507591,8.880399298132492e-18,1.0,0.4461870789527893,0.36268681287765503,0.008066177368164062,0.008067131042480469,9.5367431640625e-07,0.0021938346801313176,0.00219399494224672,1.6026211540265053e-07,1048576
data/LoveDA/img_dir/val/2530.png,data/LoveDA/ann_dir/val/2530.png,0.0,0.0,0.0,0.0,3.469195775096523e-08,1.0,0.5505177974700928,0.3952030539512634,0.0,0.0,0.0,0.0,3.469195775096523e-08,1.0,0.5505177974700928,0.3952030539512634,0.025669097900390625,0.025669097900390625,0.0,0.009311851541769445,0.009311851541769445,0.0,1048576
data/LoveDA/img_dir/val/2531.png,data/LoveDA/ann_dir/val/2531.png,0.0,0.047205790877342224,0.04743276536464691,0.0,1.2066054752568611e-11,1.0,0.6138582229614258,0.3810194730758667,0.0,0.5351241230964661,0.000604602915700525,0.016957713291049004,9.90986706028707e-08,1.0,0.6138741970062256,0.38099417090415955,0.029291152954101562,0.029291152954101562,0.0,0.005183683618946845,0.005183683618946845,0.0,1048576
