image_path,instance_selected_mask_agree,instance_top_changed,instance_top_query_agree,pair,pred_logits_max_abs,pred_logits_rel,pred_masks_max_abs,pred_masks_rel,presence_max_abs,presence_rel,semantic_changed_margin,semantic_changed_ratio,semantic_max_abs,semantic_pixel_agree,semantic_rel
data/Potsdam/img_dir/val/2_13_0_0_512_512.png,0.9998673796653748,0,1.0,A_vs_B,0.040850162506103516,0.007133033332227469,3.9035606384277344,0.031184612712217976,0.0018591880798339844,0.0004131609183891295,0.0004308447241783142,9.645061800256371e-05,0.012523651123046875,0.9999035596847534,0.00026431742179488604
data/Potsdam/img_dir/val/2_13_0_0_512_512.png,0.9998874664306641,0,1.0,A_vs_C,0.06279158592224121,0.010964325424650409,7.7436676025390625,0.061862309190256135,0.00027108192443847656,6.0241595820523244e-05,7.331371307373047e-05,1.2056327250320464e-05,0.0086517333984375,0.9999879598617554,0.0001825988159094735
data/Potsdam/img_dir/val/2_13_0_1024_512_1536.png,0.9999778866767883,0,1.0,A_vs_B,0.1156466007232666,0.02586537232000331,7.9495086669921875,0.06581707837582368,0.0012936592102050781,0.0002448424254434948,0.0002574750396888703,8.439429075224325e-05,0.0021669864654541016,0.999915599822998,0.0004774932513165342
data/Potsdam/img_dir/val/2_13_0_1024_512_1536.png,0.999985933303833,0,1.0,A_vs_C,0.1566758155822754,0.03504191457622691,5.890190124511719,0.048767178112930215,0.00017523765563964844,3.3166086011973586e-05,0.00022902271302882582,0.0001326195924775675,0.0024025440216064453,0.9998673796653748,0.0005293981178915959
data/Potsdam/img_dir/val/2_13_0_1536_512_2048.png,0.9999960064888,0,1.0,A_vs_B,0.0867760181427002,0.017014831066680457,8.549278259277344,0.05613111276925161,0.0009002685546875,0.00018652950688332498,0.00022091864957474172,0.00012056327250320464,0.005185365676879883,0.9998794198036194,0.00036430285609148535
data/Potsdam/img_dir/val/2_13_0_1536_512_2048.png,0.9999939799308777,0,1.0,A_vs_C,0.059494972229003906,0.011665629784126061,4.631946563720703,0.030411492879789753,0.0002384185791015625,4.939870415342293e-05,0.00024324655532836914,4.822530900128186e-05,0.004559516906738281,0.9999517798423767,0.00032033324842032116
data/Potsdam/img_dir/val/2_13_0_2048_512_2560.png,0.9999939799308777,0,1.0,A_vs_B,0.24430859088897705,0.04260536372022321,3.242715835571289,0.01840707117225735,0.0018925666809082031,0.00037819334684619784,0.0029642879962921143,3.616898175096139e-05,0.013464927673339844,0.9999638199806213,0.0003739298413439865
data/Potsdam/img_dir/val/2_13_0_2048_512_2560.png,1.0,0,1.0,A_vs_C,0.4574805498123169,0.07978076067140409,1.8848762512207031,0.010699380724800596,0.00020851194858551025,4.166713516013831e-05,0.0001021847128868103,2.411265450064093e-05,0.0097503662109375,0.999975860118866,0.0002707740419222975
data/Potsdam/img_dir/val/2_13_0_2560_512_3072.png,0.9999939799308777,0,1.0,A_vs_B,0.03950071334838867,0.006748166450372383,19.032615661621094,0.08951686771432017,0.0014951229095458984,0.00032503521689964586,0.000657200813293457,2.411265450064093e-05,0.010921478271484375,0.999975860118866,0.0001892770673809138
data/Potsdam/img_dir/val/2_13_0_2560_512_3072.png,0.9999960064888,0,1.0,A_vs_C,0.10053491592407227,0.01717504037828996,34.70459747314453,0.163227530903527,0.0005135536193847656,0.00011164500991896623,0.0004824002680834383,3.616898175096139e-05,0.015358686447143555,0.9999638199806213,0.0002661770739523901
