image_path,instance_selected_mask_agree,instance_top_changed,instance_top_query_agree,pair,pred_logits_max_abs,pred_logits_rel,pred_masks_max_abs,pred_masks_rel,presence_max_abs,presence_rel,semantic_changed_margin,semantic_changed_ratio,semantic_max_abs,semantic_pixel_agree,semantic_rel
data/Potsdam/img_dir/val/2_13_0_0_512_512.png,0.9978760480880737,0,1.0,A_vs_B,1.03125,0.18232044198891803,59.5,0.4722222222222185,0.03125,0.006944444444442901,0.015350877307355404,0.0006872106459923089,0.5,0.9993128180503845,0.010582010582010358
data/Potsdam/img_dir/val/2_13_0_0_512_512.png,0.9987762570381165,0,1.0,A_vs_C,0.953125,0.16850828729278788,52.5,0.41666666666666335,0.015625,0.0034722222222214505,0.01025390625,0.00053047836991027,0.375,0.999469518661499,0.007936507936507768
data/Potsdam/img_dir/val/2_13_0_1024_512_1536.png,0.9997146725654602,0,1.0,A_vs_B,0.9375,0.2112676056337552,49.5,0.4124999999999966,0.015625,0.0029585798816562443,0.00663129985332489,0.00454523554071784,0.056640625,0.9954547882080078,0.012586805555552758
data/Potsdam/img_dir/val/2_13_0_1024_512_1536.png,0.9997407793998718,0,1.0,A_vs_C,1.0625,0.2394366197182559,54.0,0.4499999999999963,0.015625,0.0029585798816562443,0.004057501908391714,0.0035807292442768812,0.068359375,0.9964192509651184,0.015190972222218846
data/Potsdam/img_dir/val/2_13_0_1536_512_2048.png,0.999947726726532,0,1.0,A_vs_B,2.0,0.39506172839498366,77.0,0.5065789473684177,0.03125,0.006493506493505144,0.004895332735031843,0.0009403935400769114,0.1875,0.9990596175193787,0.013157894736841182
data/Potsdam/img_dir/val/2_13_0_1536_512_2048.png,0.9999337196350098,0,1.0,A_vs_C,1.71875,0.3395061728394391,74.5,0.4901315789473652,0.03125,0.006493506493505144,0.007557262200862169,0.00106095673982054,0.1875,0.998939037322998,0.013157894736841182
data/Potsdam/img_dir/val/2_13_0_2048_512_2560.png,0.9999236464500427,0,1.0,A_vs_B,0.8125,0.14130434782606238,52.75,0.2997159090909074,0.03125,0.00624999999999875,0.0181884765625,0.0004822530900128186,0.5,0.9995177388191223,0.013888888888888503
data/Potsdam/img_dir/val/2_13_0_2048_512_2560.png,0.9999236464500427,0,1.0,A_vs_C,2.265625,0.39402173913036626,45.0,0.25568181818181673,0.0,0.0,0.010842347517609596,0.0004701967700384557,0.5,0.9995297789573669,0.013888888888888503
data/Potsdam/img_dir/val/2_13_0_2560_512_3072.png,0.9684907793998718,1,0.8333333134651184,A_vs_B,2.87890625,0.49797297297288684,71.3125,0.33323598130840965,0.03125,0.006756756756755296,0.011523437686264515,0.0004822530900128186,0.5,0.9995177388191223,0.008733624454148319
data/Potsdam/img_dir/val/2_13_0_2560_512_3072.png,0.9684827327728271,1,0.8333333134651184,A_vs_C,1.78125,0.30810810810805483,61.0,0.2850467289719613,0.0078125,0.001689189189188824,0.01171875,0.0004822530900128186,0.5,0.9995177388191223,0.008733624454148319
